"","Spring","Summer","Autumn"
"AK",72.7733736778874,52.3070640572735,48.5554314701602
"AL",71.852103191896,53.7571047118442,43.6364389960137
"AR",69.3142743024543,51.569266173216,41.6429096633777
"AZ",75.6709879336616,59.9976976244009,51.4438405912304
"CA",83.0665008354892,68.0937687164889,64.6521101252245
"CO",77.20080623754,49.9499379921766,50.1734552890577
"CT",83.3381748696256,63.9108946270544,59.1569433279479
"DC",85.7144109848289,71.4920636179959,62.6314064302515
"DE",86.1245761148629,65.7643435108377,60.9274160066484
"FL",81.8877879879232,63.0255197722182,55.409348426113
"GA",77.5981369334266,56.8011478286681,50.4031802491733
"HI",76.7713379749267,57.2277219498986,65.0002396873229
"IA",75.5079015382693,53.9282245801669,42.1881484449987
"ID",66.4996412968241,38.5705249879749,36.5756641792362
"IL",81.4236405025275,61.9090662707969,55.0958108086783
"IN",75.7457703107418,46.9159471580574,41.3449563472519
"KS",75.8650854854447,41.6197592182343,42.8313819890946
"KY",82.1705382305719,57.8569170426041,55.5924527082016
"LA",74.149924605488,52.9785752592641,48.7688647657702
"MA",86.9171988539181,65.1623472352626,59.8801449227666
"MD",86.5928053469573,70.3642491030725,61.9542685390763
"ME",81.6949792778152,61.5780997550459,62.9457089121253
"MI",84.8913855270647,63.0837331342511,52.1175812171528
"MN",80.4125093598501,51.7230193569356,49.1206400256291
"MO",72.9385171429298,48.6527651385944,44.2822946517393
"MS",71.4832687845801,53.3395098832514,46.011058647267
"MT",70.3032930500775,42.7008940436924,38.7314694322087
"NC",79.1141207881295,57.4065574681647,53.8014555335972
"ND",67.7420477298429,33.7647364082407,34.2189205202909
"NE",72.7518599058123,40.5327127422262,43.5512279908087
"NH",81.5614859056046,62.103766339016,55.1432541351325
"NJ",85.5770521177911,68.7546256848595,57.2475839446417
"NM",73.3792419565287,58.0388098805313,57.4933972808865
"NV",79.8054503114752,54.7650891542187,54.9275641904346
"NY",89.0064911800827,70.7538411212319,58.811473975949
"OH",78.761456436445,54.9064361329775,51.5703158664036
"OK",70.0328246501456,51.4685758378781,46.0145947895811
"OR",76.7573014994185,56.8743862101308,53.1077876474391
"PA",81.7094256045667,58.7872987759456,54.2260267148615
"RI",84.6236267550341,58.0538067189816,59.0595045118051
"SC",73.1809480644716,54.5357883591157,45.6034207848513
"SD",71.1281225821008,32.1131475144671,38.7050753133332
"TN",75.9811113926438,50.6273608039862,50.0452869309628
"TX",80.2134402218497,60.5695945643957,54.0948242645006
"UT",69.1958151105142,45.1880493618031,39.2192181409137
"VA",82.6914990215488,61.2570312085764,50.9018757123638
"VT",83.9986945234268,64.2746451035502,66.1774921823187
"WA",82.4847259037493,64.4340120826198,56.8038706767705
"WI",79.2620955149532,52.7481747833646,53.5506555956844
"WV",76.8208365807758,61.1977844838631,58.8080970270374
"WY",66.7722636062815,38.0628500332776,32.7003095561949
