,Was laid off or lost a job,Error Margin,N
National,17.6,0.6,24017
AK,22.3,6.4,331
AL,17.7,4.5,444
AR,17.6,5.2,363
AZ,20,4.6,503
CA,17.9,3.4,706
CO,19.3,4.4,467
CT,19.1,4.6,427
DC,17.1,4.4,406
DE,16.9,4.7,395
FL,16.2,3.2,685
GA,17.5,3.7,601
HI,25.3,6.2,341
IA,17.4,4.3,397
ID,17.3,4.5,492
IL,16.8,3.7,550
IN,23,4.7,424
KS,17.7,4.5,403
KY,17.4,4.1,446
LA,20.7,4.7,408
MA,18.4,4.1,460
MD,13.1,4,380
ME,18,3.7,639
MI,20.7,3.8,556
MN,15.7,3.9,467
MO,16.7,3.8,531
MS,20.6,5.5,461
MT,14.4,4.1,461
NC,16.9,3.5,569
ND,16.8,4.5,396
NE,12.4,3.9,421
NH,18.7,4.4,389
NJ,15.7,4.1,478
NM,21.6,5.7,379
NV,23.9,5.3,459
NY,17.3,3.4,716
OH,18.7,3.9,533
OK,15.2,4.1,425
OR,18.2,4,479
PA,15.8,3.4,520
RI,16,4,493
SC,14.9,3.8,477
SD,15.5,4.5,407
TN,16.1,4.2,440
TX,17.7,3.3,684
UT,19.6,4.3,403
VA,11.1,3.6,448
VT,17.1,5.3,285
WA,16.1,3.8,497
WI,16.6,3.1,724
WV,15.7,5.1,365
WY,16.9,5.7,286
