How concerned, if at all, do you currently feel about the following: - Losing your job due to the virus outbreak or the measures against it 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",14.2,13.9,16.6,22,33.3,0.8,20176
"AK",17.3,18.3,17.3,19.4,27.8,9.4,132
"AL",15.1,8.4,13.1,30.2,33.2,6.1,379
"AR",17.8,10.3,13.8,20.7,37.4,7,361
"AZ",15.8,14.6,9.3,19.8,40.6,7.4,319
"CA",12.2,12.9,19.5,27,28.3,4.1,728
"CO",17.8,12.1,20.6,21.9,27.5,5.6,388
"CT",18.8,12.6,17,20.2,31.4,6,357
"DC",12.4,14.3,18.6,32,22.6,9.6,167
"DE",12.8,12.1,17.3,22.2,35.6,6.2,339
"FL",10.6,11.5,14.8,24.9,38.2,4.3,665
"GA",14.5,12,16.7,26.9,29.9,5,493
"HI",10.3,11.8,14.9,31.8,31.3,8.3,215
"IA",19.1,17.7,12.8,16.5,34,5.7,386
"ID",21,8.9,14.4,20.6,35.1,6.1,359
"IL",12.7,16.3,17,22.8,31.1,4.6,531
"IN",16.7,17.5,16.4,15.9,33.5,5.4,442
"KS",20,12.5,12.7,23.9,30.9,5.5,438
"KY",13.6,15.6,15.3,16,39.5,5.8,396
"LA",11.3,13.9,12.8,22.2,39.9,6.7,388
"MA",12.4,16.7,18.4,22.9,29.6,4.6,471
"MD",15.5,14.3,16.4,20.6,33.3,5.5,397
"ME",13.4,16.3,13.1,15.2,41.9,5.7,371
"MI",12.6,18,12.8,18.8,37.8,4.8,526
"MN",17.9,15.8,21.3,13.1,31.9,5.5,420
"MO",20.9,10.9,16.6,16.5,35,4.9,476
"MS",13.5,13.5,13.1,25.1,34.9,7,345
"MT",16,17.2,14.6,15.8,36.5,7.4,251
"NC",17,13.9,15.8,22,31.2,4.6,524
"ND",18.8,15.4,17,21,27.8,7.8,209
"NE",20.4,13.8,12.3,19.4,34.2,7.3,262
"NH",18.7,13.2,16.3,18.4,33.4,5.4,370
"NJ",13.1,13.1,16.1,27.4,30.3,4.5,537
"NM",18.8,12.7,16.9,18.9,32.7,9.9,208
"NV",12.2,10.9,12.5,31,33.4,5.8,394
"NY",14,14.2,15.2,26.4,30.2,4.2,622
"OH",15.9,15.5,16.9,18.2,33.5,4.6,527
"OK",15.6,13.9,13.8,20.6,36.1,7.1,331
"OR",12.7,14.7,20.4,12.9,39.3,5.4,409
"PA",15,14.1,15.8,21.6,33.5,4.3,563
"RI",10.1,15,19.1,14.8,41,6.5,319
"SC",14.1,13.6,18.8,21.1,32.5,5.8,421
"SD",17.7,14.4,13.1,22.8,32,7.5,228
"TN",16.5,16.5,15.3,23.3,28.4,5,452
"TX",11.6,9.7,15.9,29.6,33.1,5.1,578
"UT",15.5,14,19.6,18.7,32.1,6.6,312
"VA",15.6,15.6,18.9,18.4,31.6,4.5,510
"VT",12.5,14,17.9,16.4,39.1,7.5,240
"WA",13.1,13,21.7,15.7,36.4,5.3,434
"WI",17.5,17.8,18.9,14.9,31,4.6,546
"WV",12.2,13.3,13.8,19.2,41.5,6.7,325
"WY",26.3,11.8,14.1,16.6,31.2,11.7,115
