Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Closing K-12 schools 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",7.5,10.4,26.2,55.8,0.8,22342
"AK",5.4,19.3,30.1,45.2,10.8,167
"AL",6.1,12.9,24.3,56.8,6,408
"AR",7.3,14.3,25.6,52.8,6.9,382
"AZ",7.7,11.4,30.6,50.4,5.3,596
"CA",4.8,8.9,26.6,59.6,4.2,843
"CO",15.3,12.8,25.1,46.9,5.8,481
"CT",4.7,10.7,21.1,63.4,5.8,416
"DC",2.8,5.9,25.3,66,6.3,303
"DE",5.2,7.6,23.1,64,6.1,353
"FL",6.4,10.3,27.7,55.6,4.4,837
"GA",4.8,12.4,26,56.8,5.5,496
"HI",8.2,9.3,26.3,56.2,6.2,450
"IA",5.9,12.6,28,53.6,6.2,411
"ID",10.5,13.8,29.8,46,6.4,355
"IL",6.7,9.8,28.8,54.6,4.8,551
"IN",6.5,10.8,31.2,51.5,5.8,489
"KS",11.8,12.5,24.1,51.5,6.6,373
"KY",7.5,9.6,25.1,57.7,5.9,440
"LA",5.7,10.4,25.4,58.4,6.7,398
"MA",6.4,11.5,24.6,57.5,5.3,464
"MD",5.6,6,21.2,67.2,5.1,456
"ME",7.5,10,29.6,52.8,6.2,375
"MI",7.5,7.2,27.4,57.9,5.3,464
"MN",9.1,13.8,31.9,45.3,5.2,490
"MO",8.3,14.1,25.8,51.8,5.5,481
"MS",5.4,8.7,24.9,61,6.8,341
"MT",11.8,13.8,28.9,45.4,6.9,295
"NC",7,12.1,20.9,60,5,539
"ND",11.5,14.6,35.6,38.3,9.1,189
"NE",9.1,17.9,32.5,40.6,6.2,379
"NH",7.3,10.7,23.9,58.1,5.7,367
"NJ",4.8,5.8,24,65.4,4.9,498
"NM",10.6,8.4,23.9,57.1,8.6,307
"NV",10.7,12.1,22.1,55.1,6.3,391
"NY",5.1,6,23.4,65.5,4.3,652
"OH",9.4,9.7,28.2,52.6,4.6,575
"OK",11.5,11,22.8,54.8,7.2,362
"OR",13.6,9.1,26.9,50.4,5.8,445
"PA",10.5,9.7,26.5,53.4,4.5,599
"RI",8.3,10.3,25.7,55.8,6.6,308
"SC",8.6,8.7,25.6,57,5.6,465
"SD",8.7,13.7,38.4,39.2,7.1,293
"TN",5.8,10.9,25.4,57.9,5.6,478
"TX",8.7,10,25.5,55.8,4.3,869
"UT",11.8,11.2,23.7,53.4,6.8,343
"VA",7,8.9,26.3,57.9,4.8,567
"VT",4.9,11.8,21.7,61.6,7.5,225
"WA",6.7,10.9,27.4,55,5.7,428
"WI",11,13.8,25.3,49.9,5.3,467
"WV",6,7,26.7,60.3,6.7,334
"WY",12.1,19.7,23.9,44.3,9.7,147
