In the last 24 hours, have you been in a room (or another enclosed space) with people who were not members of your household? This might have been at a social gathering, a work meeting, or another type of event. 
"","No, I have not","Yes, with 1-2 other people","Yes, with 3-4 other people","Yes, with 5-6 other people","Yes, with 7-8 other people","Yes, with 9-10 other people","Yes, with 11-50 other people","Yes, with 51-100 other people","Yes, with over 100 other people","Error Margin","N"
"National",57,17.4,9.3,4.9,2.6,2.9,4.1,0.9,0.9,0.9,21165
"AK",49.6,17.1,12.8,5.2,1.7,8.1,5.1,0.4,0,13.3,123
"AL",52.9,16.5,10.4,6.4,4,2.8,4.8,1.4,0.8,5.4,518
"AR",51.3,20.2,10.3,4.5,1.3,3.6,5.1,2.4,1.2,6.4,388
"AZ",58.8,18.1,9.9,3.7,1.8,3.4,1.9,1.5,0.8,5.8,464
"CA",63.5,16,8.1,5.2,1.1,3,2.4,0.3,0.4,4.2,806
"CO",51.5,16.7,9.1,4.9,4,4.7,6.8,1.5,1,5.5,476
"CT",61.1,17.5,11.1,2.8,1.1,3.4,1.6,0.6,0.8,5.6,413
"DC",66.7,17.5,6.7,3.6,1.5,1.3,1.7,0,0.8,8.5,236
"DE",63.9,17.1,7.1,4,0.6,1.5,4.5,0.6,0.6,7.6,279
"FL",62.7,16.1,8.8,4,2,1.7,3.4,0.7,0.6,4.6,580
"GA",58,17.9,8.2,6.2,2.1,1.5,4.3,1.2,0.6,4.8,600
"HI",54.8,16,12.9,4.1,4,2.5,4.4,0.9,0.4,8.5,257
"IA",50.5,14.2,11.9,8.8,1.3,5.3,5.3,1.6,1,7.5,251
"ID",47.4,22.1,9.4,4.5,4.4,2.5,7.4,0.8,1.6,8,266
"IL",58.5,16.6,8.6,4.3,2.4,3.5,5.2,0.4,0.5,4.7,508
"IN",52.5,14.7,8.6,5.6,4,5.3,5.7,2.3,1.2,5.4,463
"KS",46.9,16.4,12.5,5.3,4.9,4.4,6.9,1.5,1.4,5.8,435
"KY",59.8,16.4,6.3,4.9,1.7,3.2,5.4,0.7,1.6,5.2,511
"LA",55.4,19.1,9.9,4.1,2.4,2.3,5.9,0.5,0.4,6.4,441
"MA",60.6,18.6,8.6,5.2,2.6,1.6,2.2,0.3,0.4,4.8,601
"MD",62.6,15.4,9.9,4.5,1.8,2.2,3.5,0.2,0,4.8,537
"ME",55.2,18.6,8.8,7.8,2.7,2,2.9,0.6,1.4,6.9,286
"MI",58,14.9,8.9,5,3.4,3.8,3.8,0.9,1.3,5,580
"MN",51.1,21,8.9,5.8,2.3,2.6,6.8,1.2,0.2,5.3,528
"MO",47.1,17.5,12.7,7.4,3.4,1.9,6.1,2.3,1.6,5.3,508
"MS",54.4,14.2,12.1,4.3,2.3,3.6,6.6,1.2,1.4,7.4,401
"MT",44.4,16.1,13.2,8.2,4.2,7.8,5.5,0.3,0.2,8.4,210
"NC",59.2,15,7.5,5.7,3.7,3.4,4.5,0.5,0.6,4.7,521
"ND",43.4,20.2,7.8,7,2.5,4.9,9.1,1.7,3.4,9,184
"NE",44,19.5,13.6,8.2,2.8,3.4,3.4,1.8,3.3,7.2,306
"NH",46.6,20.3,12.5,8.6,3.8,4.6,3.5,0,0,8.3,202
"NJ",61.7,17.3,8.1,5.2,1.8,2.9,2.2,0.5,0.4,4.8,513
"NM",58.7,15.3,10,1.6,4.1,6.4,2.5,0.9,0.6,7.8,313
"NV",59,13.8,8.6,3.6,4.2,3.6,4.8,1.5,1.1,6.2,436
"NY",62,15,10.9,4,2.9,1.7,2.8,0.9,0,4.7,617
"OH",55.4,17,8.8,4.9,3.4,3.1,4.3,1.3,1.7,4.8,518
"OK",56.3,17.3,9.9,5.2,2.5,2.2,3.9,1.9,0.8,5.8,485
"OR",53.9,18.5,9.6,7.7,3,1.8,3.5,0.3,1.7,5.6,472
"PA",55.4,17.6,7.9,5.5,1.9,4,5.8,0.3,1.6,5,512
"RI",58.6,21,6.9,4.5,1.4,2.9,4.2,0.5,0,8.2,255
"SC",55.3,16.3,9.5,6.4,2,4,4.3,0.8,1.4,5.9,451
"SD",49,17.9,4.6,7.2,3.6,3,11.2,3.2,0.3,10.1,184
"TN",49.5,21.2,9.3,4.1,2.9,2.8,7.8,1.2,1.2,5,498
"TX",64.9,13.3,9.1,4.7,2.1,1.7,1.6,1.1,1.4,4.4,639
"UT",47.1,23.9,9.1,5.7,3.2,3.8,5.5,1.1,0.6,7.6,271
"VA",63.5,16.6,6.9,4.6,2.6,1.8,2.3,0.4,1.3,4.7,540
"VT",64.4,12.8,8.8,5,1.7,5.4,0.6,1.4,0,10.4,131
"WA",58.9,20.7,9.1,2.2,2,2.4,3.1,0.5,1,5.1,489
"WI",49.2,18.8,12,7,2.5,2.4,6,1.1,1,5.4,449
"WV",59.8,13.8,11.8,2.7,2.1,2.8,6.2,0,0.8,7,371
"WY",40.8,9.9,17.6,8.8,5.2,9.7,4.9,1.6,1.6,11.1,142
